date;Italy;US;India;Germany;Korea, South
2020-01-22;0;1;0;0;1
2020-01-23;0;1;0;0;1
2020-01-24;0;2;0;0;2
2020-01-25;0;2;0;0;2
2020-01-26;0;5;0;0;3
2020-01-27;0;5;0;1;4
2020-01-28;0;5;0;4;4
2020-01-29;0;5;0;4;4
2020-01-30;0;5;1;4;4
2020-01-31;2;7;1;5;11
2020-02-01;2;8;1;8;12
2020-02-02;2;8;2;10;15
2020-02-03;2;11;3;12;15
2020-02-04;2;11;3;12;16
2020-02-05;2;11;3;12;19
2020-02-06;2;11;3;12;23
2020-02-07;3;11;3;13;24
2020-02-08;3;11;3;13;24
2020-02-09;3;11;3;14;25
2020-02-10;3;11;3;14;27
2020-02-11;3;12;3;16;28
2020-02-12;3;12;3;16;28
2020-02-13;3;13;3;16;28
2020-02-14;3;13;3;16;28
2020-02-15;3;13;3;16;28
2020-02-16;3;13;3;16;29
2020-02-17;3;13;3;16;30
2020-02-18;3;13;3;16;31
2020-02-19;3;13;3;16;31
2020-02-20;3;13;3;16;104
2020-02-21;20;15;3;16;204
2020-02-22;62;15;3;16;433
2020-02-23;155;15;3;16;602
2020-02-24;229;15;3;16;833
2020-02-25;322;15;3;17;977
2020-02-26;453;15;3;27;1261
2020-02-27;655;16;3;46;1766
2020-02-28;888;16;3;48;2337
2020-02-29;1128;24;3;79;3150
2020-03-01;1694;30;3;130;3736
2020-03-02;2036;52;5;159;4335
2020-03-03;2502;72;5;196;5186
2020-03-04;3089;103;28;262;5621
2020-03-05;3858;172;30;482;6088
2020-03-06;4636;215;31;670;6593
2020-03-07;5883;337;34;799;7041
2020-03-08;7375;450;39;1040;7314
2020-03-09;9172;515;43;1176;7478
2020-03-10;10149;713;56;1457;7513
2020-03-11;12462;1105;62;1908;7755
2020-03-12;15113;1530;73;2078;7869
2020-03-13;17660;2115;82;3675;7979
2020-03-14;21157;2814;102;4585;8086
2020-03-15;24747;2986;113;5795;8162
2020-03-16;27980;4354;119;7272;8236
2020-03-17;31506;5970;142;9257;8320
2020-03-18;35713;8386;156;12327;8413
2020-03-19;41035;12674;194;15320;8565
2020-03-20;47021;18736;244;19848;8652
2020-03-21;53578;24508;330;22213;8799
2020-03-22;59138;33152;396;24873;8961
2020-03-23;63927;43850;499;29056;8961
2020-03-24;69176;54112;536;32986;9037
2020-03-25;74386;66055;657;37323;9137
2020-03-26;80589;83611;727;43938;9241
2020-03-27;86498;102101;887;50871;9332
2020-03-28;92472;122059;987;57695;9478
2020-03-29;97689;141205;1024;62095;9583
2020-03-30;101739;162707;1251;66885;9661
2020-03-31;105792;188744;1397;71808;9786
2020-04-01;110574;214205;1998;77872;9887
2020-04-02;115242;244610;2543;84794;9976
2020-04-03;119827;276547;2567;91159;10062
2020-04-04;124632;309699;3082;96092;10156
2020-04-05;128948;337573;3588;100123;10237
2020-04-06;132547;367215;4778;103374;10284
2020-04-07;135586;397992;5311;107663;10331
2020-04-08;139422;429686;5916;113296;10384
2020-04-09;143626;464442;6725;118181;10423
2020-04-10;147577;497943;7598;122171;10450
2020-04-11;152271;527969;8446;124908;10480
2020-04-12;156363;556522;9205;127854;10512
2020-04-13;159516;581813;10453;130072;10537
2020-04-14;162488;608878;11487;131359;10564
2020-04-15;165155;637974;12322;134753;10591
2020-04-16;168941;669272;13430;137698;10613
2020-04-17;172434;701996;14352;141397;10635
2020-04-18;175925;730266;15722;143342;10653
2020-04-19;178972;756544;17615;145184;10661
2020-04-20;181228;783931;18539;147065;10674
2020-04-21;183957;809295;20080;148291;10683
2020-04-22;187327;837627;21370;150648;10694
2020-04-23;189973;871617;23077;153129;10708
2020-04-24;192994;907908;24530;154999;10718
2020-04-25;195351;940829;26283;156513;10728
